timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,time,electricity,power,type
2023-11-10T08:07:15,codecarbon,944be82f-4a66-4de0-9ad3-f0610bdfd734,0.0013303756713867,8.354420486196232e-09,6.279745387622724e-06,42.5,0.0,4.7543792724609375,1.4239384068383112e-08,0,3.3376230324696127e-10,1.4573146371630077e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0188052654266357,8.853097202338884e-09,4.7077757221120493e-07,list
2023-11-10T08:07:17,codecarbon,7a10df66-4792-4cb6-8cc4-f22e50df44c9,0.0015692710876464,9.901074253053696e-09,6.309345995727762e-06,42.5,0.0,4.7543792724609375,1.6949905289544e-08,0,3.2116749935084956e-10,1.7271072788894852e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0199966430664062,8.886889703278307e-09,4.444190794307876e-07,list
2023-11-10T08:07:19,codecarbon,129982c2-b615-461f-ba49-58d63760a3fd,0.0012042522430419,7.538547299926904e-09,6.25994042650418e-06,42.5,0.0,4.7543792724609375,1.2801090876261396e-08,0,3.488760679222953e-10,1.3149966944183692e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0356063842773437,2.087506713354141e-08,5.862731517736317e-07,list
2023-11-10T08:07:21,codecarbon,371aab7f-e94f-4578-b024-6cb407bb7a55,0.0012948513031005,8.31769121982082e-09,6.423665172907263e-06,42.5,0.0,4.7543792724609375,1.4169017473856613e-08,0,3.400597051950172e-10,1.4509077179051629e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0197088718414306,8.581644368325341e-09,4.354203750153566e-07,list
2023-11-10T08:07:23,codecarbon,e4ccb405-b385-4789-ad10-986a2efef3ee,0.0012831687927246,8.161830411569452e-09,6.360683378403456e-06,42.5,0.0,4.7543792724609375,1.3912883069780142e-08,0,3.2431620032487736e-10,1.4237199270105017e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0191524028778076,8.527154773763263e-09,4.4522636810464645e-07,list
2023-11-10T08:07:25,codecarbon,b243f730-09cb-4910-8d53-af659fb3364d,0.0008330345153808,2.050396143973573e-11,2.4613579703070787e-08,42.5,0.0,4.7543792724609375,8.283555507659913e-09,0,3.4163405568203115e-10,8.625189563341945e-09,Canada,CAN,quebec,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,-71.2,46.8,12.6783447265625,machine,N,1.0,0.0178635120391845,2.422642309682349e-11,1.3561959733159714e-09,list
2023-11-10T08:07:27,codecarbon,4f273864-7dd1-401e-8137-5545ddb664c6,0.0012450218200683,7.957808747200816e-09,6.391702232788084e-06,42.5,0.0,4.7543792724609375,1.3555420769585505e-08,0,3.2589055081189144e-10,1.3881311320397394e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0196647644042968,7.504235253555636e-09,3.816081952101045e-07,list
2023-11-10T08:07:30,codecarbon,4a053066-7e2f-4683-a1ec-caf8669f00e1,0.0015418529510498,9.637858820073966e-09,6.250828792403204e-06,42.5,0.0,4.7543792724609375,1.6496744420793322e-08,0,3.1518496750019645e-10,1.6811929388293518e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.017573595046997,2.1019876874171607e-11,1.196105681163026e-09,list
2023-11-10T08:07:32,codecarbon,2caf9bdf-3035-42ae-a69c-1e20c55f5846,0.0013098716735839,8.386883508949773e-09,6.402828367149994e-06,42.5,0.0,4.7543792724609375,1.4292862680223257e-08,0,3.3691100422098917e-10,1.4629773684444245e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.037830114364624,8.806697465705663e-09,2.327959514164474e-07,list
2023-11-10T08:07:34,codecarbon,a59bbc4f-2c6d-46b4-a3cc-11440f026335,0.0013229846954345,8.411683616184898e-09,6.358111053901385e-06,42.5,0.0,4.7543792724609375,1.4321009318033857e-08,0,3.5202476889632325e-10,1.4673034086930178e-08,Taiwan,TWN,taipei city,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,121.5324,25.0504,12.6783447265625,machine,N,1.0,0.0202178955078125,9.640659030421703e-09,4.768379095982767e-07,list
