timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,running_method
2023-11-10T10:32:09,codecarbon,428fbb55-3527-4c23-bc8b-3d1ed5047185,0.0068840980529785,4.1226829129033655e-08,5.988704520441309e-06,42.5,0.0,4.7543792724609375,8.028828435473972e-08,0.0,4.203830670424699e-09,8.449211502516444e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:09,codecarbon,fb26ec9a-3556-493d-b338-80720f2fe121,0.0076680183410644,4.5349823918275015e-08,5.914151727495696e-06,42.5,0.0,4.7543792724609375,8.870412906010947e-08,0.0,4.2378366409442e-09,9.294196570105365e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:11,codecarbon,1307ffec-9014-4550-945e-f06d5090146c,0.0068073272705078,4.0845509492843744e-08,6.000227089096122e-06,42.5,0.0,4.7543792724609375,7.95001784960429e-08,0.0,4.210442942470157e-09,8.371062143851306e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:11,codecarbon,3bed86f6-c3aa-4a5d-a38b-4068d7010ec4,0.0124893188476562,7.622206148052952e-08,6.102979867059233e-06,42.5,0.0,4.7543792724609375,1.456222600407071e-07,0.0,1.0590655726142964e-08,1.5621291576685006e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:14,codecarbon,b1e32c73-53cd-4cf3-8d93-ad386b5efd1a,0.0080118179321289,4.784245679442314e-08,5.971485772606718e-06,42.5,0.0,4.7543792724609375,9.304152594672309e-08,0.0,5.008953509483642e-09,9.805047945620673e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:14,codecarbon,2e3876fe-975a-4a17-a9f7-91d704ddb03f,0.0327162742614746,2.001436948516816e-07,6.117557679462386e-06,42.5,0.0,4.7543792724609375,3.844718138376872e-07,0.0,2.5711662413717325e-08,4.101834762514046e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:16,codecarbon,8d8ba693-fcc2-4f86-87c5-b20e5b9206dc,0.0072951316833496,4.3689504066124266e-08,5.988857495998472e-06,42.5,0.0,4.7543792724609375,8.51801700062222e-08,0.0,4.3590616284442756e-09,8.953923163466648e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:32:17,codecarbon,f8270cd3-e78e-4f79-91ec-0c266d0e9bf2,0.0082857608795166,5.004543901075492e-08,6.0399328122626924e-06,42.5,0.0,4.7543792724609375,9.697642591264517e-08,0.0,5.588944228899588e-09,1.0256537014154472e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:29,codecarbon,f51d2c92-6381-4696-862c-6dc6e2ab1a70,0.0080814361572265,4.7897359759777444e-08,5.926837610038752e-06,42.5,0.0,4.7543792724609375,9.376489453845554e-08,0.0,4.398105520522222e-09,9.816300005897777e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:31,codecarbon,163882e3-4bc7-493a-a213-bd444ac86b8a,0.0071744918823242,4.288126137632984e-08,5.976905693067451e-06,42.5,0.0,4.7543792724609375,8.368839820226035e-08,0.0,4.194384567502614e-09,8.788278276976297e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
