total_time,electricity,type,running_method
0.015595197677612305,2.1812544047302694e-07,list,seq
0.0161435604095459,6.265909786893354e-08,list,seq
0.015219926834106445,1.2159905240317636e-07,list,seq
0.009006023406982422,1.8323430245863475e-07,list,seq
0.015506744384765625,1.2295687957318668e-07,list,seq
0.01557469367980957,6.045111677996313e-08,list,seq
0.015105485916137695,5.862994880716608e-08,list,seq
0.015089035034179688,1.8053556110559893e-07,list,seq
0.03120875358581543,1.211326557272161e-07,list,seq
0.01555013656616211,7.548677478650042e-08,list,seq
0.015566587448120117,2.2081770054322937e-07,list,seq
0.015595436096191406,9.918933393279783e-08,list,seq
0.013581514358520508,9.47215071603486e-08,list,seq
0.015523910522460938,6.025400866095613e-08,list,seq
0.015631437301635742,6.067135965472212e-08,list,seq
0.0,2.1996381671327413e-07,list,seq
0.01541447639465332,5.98292545453495e-08,list,seq
0.016550779342651367,1.724594590665958e-07,list,seq
0.015454769134521484,1.7913850429049683e-07,list,seq
0.01562809944152832,6.065840419150102e-08,list,seq
0.014586925506591797,5.6617225056742504e-08,list,seq
0.015705585479736328,1.7771492588705729e-07,list,seq
0.015650033950805664,6.074354009266833e-08,list,seq
0.01557302474975586,2.3748141990037423e-07,list,seq
0.015717029571533203,6.100357474732078e-08,list,seq
0.015540361404418945,2.3969150936793446e-07,list,seq
0.0,1.0150673850210234e-07,list,seq
0.007652997970581055,1.464272779157507e-07,list,seq
0.015621185302734375,6.063156787482869e-08,list,seq
0.01567554473876953,6.084255684728689e-08,list,seq
0.015717506408691406,2.35893898678121e-07,list,seq
0.016008615493774414,1.2260680236373326e-07,list,seq
0.015576839447021484,6.045944529203385e-08,list,seq
0.016157150268554688,1.2358216366623737e-07,list,seq
0.015626907348632812,2.2531521700505422e-07,list,seq
0.010576963424682617,1.642990570163638e-07,np,seq
0.0075070858001708984,8.978136012234247e-08,np,seq
0.0070858001708984375,6.27581146235521e-08,np,seq
0.0,7.837999348183775e-08,np,seq
0.015834569931030273,1.669317044314078e-07,np,seq
0.015583992004394531,6.048720699893623e-08,np,seq
0.0,1.3958265800215905e-07,np,seq
0.014075279235839844,5.985232610479209e-08,np,seq
0.015549421310424805,6.035302541557468e-08,np,seq
0.009079217910766602,1.1331413887797431e-07,np,seq
0.005511760711669922,3.5100976817157e-08,np,seq
0.0,2.2683760688563246e-07,np,seq
0.015702486038208008,6.094712594328591e-08,np,seq
0.016078948974609375,1.6706171125383166e-07,np,seq
0.0,9.97868969284151e-08,np,seq
0.0,6.041780273168026e-08,np,seq
0.015607833862304688,6.057974602194422e-08,np,seq
0.0,3.8393489337178e-08,np,seq
0.009582757949829102,3.719420951759752e-08,np,seq
0.0,3.896339639714537e-08,np,seq
0.0,3.898413106148929e-08,np,seq
0.0,6.050016246215735e-08,np,seq
0.015572786331176758,6.044371365812248e-08,np,seq
0.015717744827270508,6.100635091801101e-08,np,seq
0.0,1.6712978373790326e-07,np,seq
0.0,1.664340810993173e-07,np,seq
0.0155181884765625,6.02317992954342e-08,np,seq
0.015474796295166016,6.006337827355969e-08,np,seq
0.0,6.039836953684857e-08,np,seq
0.0021157264709472656,5.4079426700999465e-08,np,seq
0.0,3.898353864250804e-08,np,seq
0.0,1.484794655363398e-07,np,seq
0.016497135162353516,6.403145158014189e-08,np,seq
0.0,3.8825362774512946e-08,np,seq
0.015580415725708008,6.047332614548504e-08,np,seq
0.0,0.0,pd,seq
0.02027106285095215,7.867945353207509e-08,pd,seq
0.022192001342773438,8.613532261582805e-08,pd,seq
0.01613640785217285,6.263133616203116e-08,pd,seq
0.0,5.494601813932018e-08,pd,seq
0.0,3.845569333020978e-08,pd,seq
0.0,6.051496870583863e-08,pd,seq
0.009510993957519531,7.599221548090859e-08,pd,seq
0.015623331069946289,8.800372913107068e-08,pd,seq
0.0,3.8786855540731366e-08,pd,seq
0.0,6.096748452834765e-08,pd,seq
0.0,1.5991188225137837e-07,pd,seq
0.010587930679321289,2.2142772160047967e-07,pd,seq
0.015898466110229492,6.17077967124115e-08,pd,seq
0.015821456909179688,1.6664694561632183e-07,pd,seq
0.010085344314575195,6.286545989024133e-08,pd,seq
0.015720367431640625,1.7280272551276664e-07,pd,seq
0.015558004379272461,6.038633946385755e-08,pd,seq
0.0,1.7922112539675253e-07,pd,seq
0.01557302474975586,6.044463904835257e-08,pd,seq
0.01570725440979004,6.09656337478875e-08,pd,seq
0.0,1.1596573694499358e-07,pd,seq
0.0,3.716552242046505e-08,pd,seq
0.0,9.937000479868021e-08,pd,seq
0.0,6.050664019376792e-08,pd,seq
0.011586427688598633,4.4971189011188184e-08,pd,seq
0.0,1.699028176851241e-07,pd,seq
0.015711307525634766,1.7791253199353537e-07,pd,seq
0.015583992004394531,6.048720699893623e-08,pd,seq
0.01618361473083496,6.281456342758696e-08,pd,seq
0.01562190055847168,6.063434404551893e-08,pd,seq
0.015575885772705078,6.045574373111354e-08,pd,seq
0.0157926082611084,6.129692345025607e-08,pd,seq
0.015549898147583008,6.035487619603483e-08,pd,seq
0.015575885772705078,6.045574373111354e-08,pd,seq
0.015547513961791992,6.034562229373403e-08,df,seq
0.015625,2.4771897211769764e-07,df,seq
0.015723466873168945,6.102856028353293e-08,df,seq
0.0,1.0299483025435451e-07,df,seq
0.015645742416381836,6.072688306852691e-08,df,seq
0.0,5.2454819801843555e-08,df,seq
0.022153139114379883,8.598448400832507e-08,df,seq
0.0,9.998918474083817e-08,df,seq
0.015691280364990234,6.090363260247216e-08,df,seq
0.0,7.253578173085398e-08,df,seq
0.01560068130493164,1.7321516334541492e-07,df,seq
0.0,3.90196762003646e-08,df,seq
0.0,9.820789716259828e-08,df,seq
0.0,3.8854983723575696e-08,df,seq
0.0,9.945137830796114e-08,df,seq
0.0,6.102208255192238e-08,df,seq
0.015629053115844727,6.066210575242133e-08,df,seq
0.01567244529724121,7.970795761198838e-08,df,seq
